trt	year	season	needle.m	needle.se	cone.m	cone.se	twig.m	twig.se	bark.m	bark.se	sum.m	sum.se	needle.n
C	2006	1	13.61	2.09339968047724	1.67	0.733492406989405	0.48	0.293938769133981	0.57	0.12914247085207	17.51	2.82545768170594	10
C	2006	2	13.3272727272727	1.0887934029834	0.890909090909091	0.53231134864929	0.436363636363636	0.368108859213419	0.663636363636364	0.147261503500484	15.8363636363636	1.52167806458245	11
C	2006	3	1.53636363636364	0.165843698196238	0.754545454545455	0.393668904806527	2.31818181818182	0.843673588520431	2.15454545454545	0.199254810077054	7.58181818181818	1.07600423975324	11
C	2007	1	22.0272727272727	1.5555233500536	2.07272727272727	1.26067016154042	0.827272727272727	0.624513033431345	2.03636363636364	0.252000262363762	28.8272727272727	2.62370629277437	11
C	2007	2	1.38181818181818	0.260355764228377	0.354545454545455	0.197881340184941	0.963636363636364	0.455526214647856	0.718181818181818	0.152445627754579	3.71818181818182	0.689112496663536	11
C	2008	1	20.7545454545455	1.92175883627301	2.74545454545455	0.920905052490472	0.445454545454545	0.199254810077054	3.42727272727273	0.514355891840537	30.3090909090909	2.94737030851863	11
C	2008	2	2.33636363636364	0.230916248994277	0.8	0.419740179375073	1.00909090909091	0.361173477696986	1.84545454545455	0.147933422594967	6.70909090909091	0.726067182648416	11
C	2009	1	24.6	2.15203920207619	3.63636363636364	1.32062469565614	0.4	0.207583499081476	1.83636363636364	0.334194479926319	32.1909090909091	2.86246729383315	11
C	2009	2	1.08181818181818	0.106871360070441	0.681818181818182	0.367749465562477	2.46363636363636	1.04170077079158	0.618181818181818	0.0998345739148534	5.18181818181818	1.34764563603737	11
C	2010	1	19.7090909090909	2.4254879376194	1.11818181818182	0.444116729499675	0.127272727272727	0.117621047197352	2.06363636363636	0.3142878608921	25.0454545454545	2.59283500987428	11
C	2010	2	3.63636363636364	0.42858598952045	1.04545454545455	0.527147320509799	0.345454545454545	0.111488797940043	0.954545454545455	0.115493908822962	6.36363636363636	0.84037575224341	11
C	2011	1	15.7	1.15009880998429	1.56363636363636	0.730662554531872	0.418181818181818	0.181818181818182	1.61818181818182	0.216508736677879	21.0181818181818	1.76639428224012	11
C	2011	2	4.1	0.351820661385567	0.31	0.31	2.27	1.27017496607532	2.18	0.333599893418581	9.94	1.61218967728849	10
C	2012	1	18.8454545454545	1.4694688982674	1.3	0.885437744847146	0.318181818181818	0.214399025531275	1.46363636363636	0.276758091701605	23.6636363636364	2.56725083688839	11
C	2012	2	8.70909090909091	0.806840588677336	1.10909090909091	0.65788290550475	0.927272727272727	0.440885660108441	0.972727272727273	0.158453267610766	12.3363636363636	1.21238103275952	11
C	2013	1	26.1909090909091	1.92299267456906	4.99090909090909	2.25970450785272	1.34545454545455	0.579868893702962	1.79090909090909	0.319219088474172	36.3454545454545	4.46025607981433	11
C	2013	2	4.70909090909091	0.346529428228108	2.55454545454545	0.871191831120776	3.67272727272727	1.0067130049722	3.56363636363636	0.410381801668271	15.5090909090909	2.05069631391409	11
